recorded_hour,wind_sin,wind_cos
1770494400,0.0,0.0
1770498000,0.0,-0.18
1770501600,0.0,0.0
1770505200,0.0,0.0
1770508800,0.0,0.0
1770512400,0.0,0.0
1770516000,0.0,0.0
1770519600,0.0,0.0
1770523200,0.0,0.0
1770526800,0.46,-0.21
1770530400,0.0,0.0
1770534000,0.0,0.0
1770537600,0.0,0.0
1770541200,0.0,0.0
1770544800,2.43,-3.28
1770548400,1.96,-2.45
1770552000,2.71,-2.47
1770555600,2.3,-5.89
1770559200,2.02,-4.6
1770562800,0.65,-2.73
1770566400,0.0,0.0
1770570000,0.0,0.0
1770573600,-0.26,-0.4
1770577200,2.86,-2.27
1770580800,4.93,-3.9
1770584400,6.52,-3.18
1770588000,3.77,-1.05
1770591600,4.27,-4.71
1770595200,5.71,-4.9
1770598800,5.87,-5.35
1770602400,6.26,-5.24
1770606000,6.92,-7.47
1770609600,5.85,-4.82
1770613200,3.95,-5.21
1770616800,4.8,-3.62
1770620400,6.55,-4.41
1770624000,6.36,-3.63
1770627600,6.17,-6.26
1770631200,6.47,-6.62
1770634800,5.02,-7.2
1770638400,6.78,-7.38
1770642000,6.23,-5.95
1770645600,6.69,-3.89
1770649200,8.75,-4.77
1770652800,7.65,-4.9
1770656400,6.57,-5.32
1770660000,8.9,-5.73
1770663600,8.84,-4.61
1770667200,8.26,-6.95
1770670800,6.75,-5.94
1770674400,6.56,-5.93
1770678000,7.93,-6.97
1770681600,6.58,-4.78
1770685200,6.92,-5.31
1770688800,8.26,-5.08
1770692400,8.65,-5.3
1770696000,7.08,-4.86
1770699600,5.99,-5.31
1770703200,5.24,-3.27
1770706800,5.12,-1.96
1770710400,3.91,-2.72
1770714000,2.39,-1.3
1770717600,1.28,-3.41
1770721200,-1.03,-4.95
1770724800,1.05,-4.38
1770728400,1.34,-4.95
1770732000,-2.46,-4.47
1770735600,0.86,-3.36
1770739200,2.79,-3.89
1770742800,4.02,-3.31
1770746400,3.12,-4.16
1770750000,5.24,-5.73
